Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
2020-01-02 00:00:00+00:00,72.79603576660156,94.90049743652344,68.18682098388672,208.981689453125,153.93820190429688,5.972710609436035,28.68400001525879
2020-01-03 00:00:00+00:00,72.08830261230469,93.74849700927734,67.83010864257812,207.8759307861328,152.0214080810547,5.877111434936523,29.534000396728516
2020-01-06 00:00:00+00:00,72.6626968383789,95.14399719238281,69.63805389404297,211.7909698486328,152.41433715820312,5.901759147644043,30.1026668548584
2020-01-07 00:00:00+00:00,72.32098388671875,95.34300231933594,69.50354766845703,212.24920654296875,151.02467346191406,5.973207950592041,31.270666122436523
2020-01-08 00:00:00+00:00,73.48435974121094,94.59850311279297,69.99824523925781,214.4010009765625,153.43028259277344,5.984411716461182,32.80933380126953
2020-01-09 00:00:00+00:00,75.04522705078125,95.05249786376953,70.73308563232422,217.46926879882812,155.3470916748047,6.050136089324951,32.089332580566406
2020-01-10 00:00:00+00:00,75.21488952636719,94.15799713134766,71.18992614746094,217.23019409179688,154.6282501220703,6.082499980926514,31.876667022705078
2020-01-13 00:00:00+00:00,76.82178497314453,94.56500244140625,71.7414321899414,221.0655517578125,156.48756408691406,6.273200988769531,34.990665435791016
2020-01-14 00:00:00+00:00,75.78445434570312,93.47200012207031,71.27113342285156,218.2263946533203,155.38536071777344,6.156190872192383,35.861331939697266
2020-01-15 00:00:00+00:00,75.45967102050781,93.10099792480469,71.70008850097656,220.30844116210938,156.39173889160156,6.113620281219482,34.56666564941406
2020-01-16 00:00:00+00:00,76.4049072265625,93.89700317382812,72.24610900878906,220.92608642578125,159.25733947753906,6.197269439697266,34.232666015625
2020-01-17 00:00:00+00:00,77.25078582763672,93.23600006103516,73.70879364013672,221.29466247558594,160.1486358642578,6.205981731414795,34.03333282470703
2020-01-21 00:00:00+00:00,76.72726440429688,94.5999984741211,73.84481048583984,220.5973358154297,159.57363891601562,6.172621726989746,36.47999954223633
2020-01-22 00:00:00+00:00,77.00115203857422,94.37300109863281,73.92550659179688,220.47779846191406,158.806884765625,6.226646423339844,37.97066879272461
2020-01-23 00:00:00+00:00,77.37196350097656,94.22899627685547,73.96635437011719,218.9237060546875,159.78445434570312,6.295108318328857,38.14666748046875
2020-01-24 00:00:00+00:00,77.14900970458984,93.08200073242188,73.04370880126953,217.1106414794922,158.17433166503906,6.235857963562012,37.654666900634766
2020-01-27 00:00:00+00:00,74.88040924072266,91.41699981689453,71.32793426513672,214.0523223876953,155.52914428710938,5.979930877685547,37.201332092285156
2020-01-28 00:00:00+00:00,76.99872589111328,92.6624984741211,72.26304626464844,216.96121215820312,158.5768585205078,6.173370838165283,37.793331146240234
2020-01-29 00:00:00+00:00,78.61050415039062,92.9000015258789,72.5719223022461,222.38052368164062,161.04949951171875,6.1128740310668945,38.732666015625
2020-01-30 00:00:00+00:00,78.49657440185547,93.53399658203125,72.44986724853516,208.732666015625,165.5923614501953,6.119595527648926,42.72066879272461
2020-01-31 00:00:00+00:00,75.01612854003906,100.43599700927734,71.38024139404297,201.14166259765625,163.14842224121094,5.886074542999268,43.371334075927734
2020-02-03 00:00:00+00:00,74.81011962890625,100.20999908447266,73.86223602294922,203.41299438476562,167.1257781982422,5.9831671714782715,52.0
2020-02-04 00:00:00+00:00,77.27986907958984,102.4834976196289,72.00946044921875,209.03150939941406,172.6269989013672,6.152457237243652,59.137332916259766
2020-02-05 00:00:00+00:00,77.9100341796875,101.99349975585938,72.04133605957031,209.31045532226562,172.41612243652344,6.242828845977783,48.97999954223633
2020-02-06 00:00:00+00:00,78.82135009765625,102.5114974975586,73.53194427490234,210.04763793945312,175.9910125732422,6.329714298248291,49.930667877197266
2020-02-07 00:00:00+00:00,77.74994659423828,103.96399688720703,73.68836975097656,211.5220184326172,176.24017333984375,6.263492107391357,49.871334075927734
2020-02-10 00:00:00+00:00,78.1192398071289,106.69550323486328,75.1605453491211,212.24920654296875,180.8500518798828,6.546803951263428,51.41866683959961
2020-02-11 00:00:00+00:00,77.64794921875,107.54000091552734,75.23028564453125,206.4015655517578,176.7672882080078,6.669291019439697,51.62533187866211
2020-02-12 00:00:00+00:00,79.49188232421875,108.0,75.65724182128906,209.95797729492188,177.02606201171875,6.785054683685303,51.15266799926758
2020-02-13 00:00:00+00:00,78.92581939697266,107.49349975585938,75.39618682861328,212.32891845703125,176.06764221191406,6.741238594055176,53.599998474121094
2020-02-14 00:00:00+00:00,78.94526672363281,106.74349975585938,75.66221618652344,213.36495971679688,177.6394500732422,7.214504241943359,53.33533477783203
2020-02-18 00:00:00+00:00,77.49972534179688,107.78350067138672,75.69759368896484,216.97119140625,179.4412384033203,7.383298397064209,57.22666549682617
2020-02-19 00:00:00+00:00,78.62213134765625,108.51100158691406,75.96810913085938,216.66236877441406,179.97938537597656,7.834655284881592,61.16133117675781
2020-02-20 00:00:00+00:00,77.8155517578125,107.65499877929688,75.57553100585938,213.76344299316406,177.2308807373047,7.685281276702881,59.96066665649414
2020-02-21 00:00:00+00:00,76.05419921875,104.79850006103516,73.90509033203125,209.3801727294922,171.628173828125,7.3210577964782715,60.06666564941406
2020-02-24 00:00:00+00:00,72.44158172607422,100.4645004272461,70.736572265625,199.9561767578125,164.2283172607422,6.803478240966797,55.58599853515625
2020-02-25 00:00:00+00:00,69.98782348632812,98.63700103759766,69.06563568115234,196.02122497558594,161.51828002929688,6.523900032043457,53.32733154296875
2020-02-26 00:00:00+00:00,71.09810638427734,98.97949981689453,69.27238464355469,196.4495849609375,163.53639221191406,6.663315296173096,51.91999816894531
